                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L2-N4  7.05E-08  5.395E-04  6.09E-24
                            L2-N6  7.37E-06  5.833E-04  6.89E-22
                            L2-O1  8.09E-07  5.838E-04  7.57E-23
                            L3-N5  7.87E-05  5.016E-04  6.33E-21
                            L3-N6  6.63E-08  5.296E-04  5.62E-24
                            L3-N7  6.48E-08  5.306E-04  5.51E-24
                            L3-O1  1.12E-06  5.744E-04  1.03E-22
                            L3-O2  1.28E-05  5.744E-04  1.18E-21
                            L3-O3  1.48E-06  5.749E-04  1.36E-22
                            M3-M5  1.51E-07  3.462E-05  8.38E-25
                            M3-N5  1.87E-01  6.391E-06  1.92E-19
                                                  Total 6.36E-18
Mn-52   5.591 d EC B-       K -L2  5.17E-02  5.368E-03  4.45E-17
                            K -L3  1.02E-01  5.377E-03  8.75E-17
                            K -M2  5.95E-03  5.906E-03  5.63E-18
                            K -M3  1.17E-02  5.907E-03  1.11E-17
                            K -M4  1.58E-06  5.951E-03  1.51E-21
                            K -M5  2.31E-06  5.951E-03  2.21E-21
                            L1-L3  1.03E-05  9.760E-05  1.61E-22
                            L1-M2  3.64E-05  1.065E-04  6.21E-22
                            L1-M3  1.06E-04  6.361E-04  1.08E-20
                            L1-M4  1.55E-04  6.371E-04  1.58E-20
                            L1-M5  2.21E-07  6.809E-04  2.41E-23
                            L1-N2  3.15E-07  6.810E-04  3.43E-23
                            L2-N1  2.98E-11  8.930E-06  4.26E-29
                            L2-N3  1.04E-03  5.105E-04  8.51E-20
                            L2-N4  1.70E-06  5.395E-04  1.47E-22
                            L2-N6  1.78E-04  5.833E-04  1.66E-20
                            L2-O1  1.95E-05  5.838E-04  1.83E-21
                            L3-N5  1.90E-03  5.016E-04  1.53E-19
                            L3-N6  1.60E-06  5.296E-04  1.36E-22
                            L3-N7  1.57E-06  5.306E-04  1.33E-22
                            L3-O1  2.70E-05  5.744E-04  2.48E-21
                            L3-O2  3.09E-04  5.744E-04  2.85E-20
                            L3-O3  3.58E-05  5.749E-04  3.29E-21
                            M3-M5  3.65E-06  3.461E-05  2.03E-23
                            M3-N5  4.52E+00  6.391E-06  4.63E-18
                                                  Total 1.54E-16
Mn-52m  21.1 m EC B- IT     K -L2  1.23E-03  5.368E-03  1.06E-18
                            K -L3  2.42E-03  5.377E-03  2.08E-18
                            K -M2  1.42E-04  5.906E-03  1.34E-19
                            K -M3  2.79E-04  5.907E-03  2.64E-19
                            K -M4  3.76E-08  5.951E-03  3.59E-23
                            K -M5  5.51E-08  5.951E-03  5.25E-23
                            L1-L3  2.44E-07  9.760E-05  3.82E-24
                            L1-M2  8.65E-07  1.065E-04  1.48E-23
                            L1-M3  2.53E-06  6.361E-04  2.57E-22
                            L1-M4  3.69E-06  6.371E-04  3.76E-22
                            L1-M5  5.25E-09  6.809E-04  5.73E-25
                            L1-N2  7.48E-09  6.810E-04  8.16E-25
                            L2-N1  7.09E-13  8.930E-06  1.01E-30
                            L2-N3  2.47E-05  5.105E-04  2.02E-21
                            L2-N4  4.05E-08  5.395E-04  3.50E-24
                            L2-N6  4.24E-06  5.833E-04  3.96E-22
                            L2-O1  4.65E-07  5.838E-04  4.35E-23
                            L3-N5  4.53E-05  5.016E-04  3.64E-21
                            L3-N6  3.81E-08  5.296E-04  3.23E-24
                            L3-N7  3.73E-08  5.306E-04  3.17E-24
                            L3-O1  6.42E-07  5.744E-04  5.91E-23
                            L3-O2  7.36E-06  5.744E-04  6.78E-22
                            L3-O3  8.51E-07  5.749E-04  7.84E-23
                            M3-M5  8.69E-08  3.462E-05  4.82E-25
                            M3-N5  1.08E-01  6.391E-06  1.10E-19
                            K -L2  5.56E-05  5.848E-03  5.21E-20
                            K -L3  1.09E-04  5.859E-03  1.02E-19
                            K -M2  6.63E-06  6.449E-03  6.85E-21
                            K -M3  1.30E-05  6.450E-03  1.35E-20
                            K -M4  2.34E-09  6.499E-03  2.43E-24
                            K -M5  3.42E-09  6.499E-03  3.56E-24
                            L1-L3  7.60E-09  1.035E-04  1.26E-25
                            L1-M2  2.83E-08  1.142E-04  5.19E-25
                            L1-M3  1.08E-07  7.044E-04  1.21E-23
                            L1-M4  1.56E-07  7.057E-04  1.77E-23
                            L1-M5  2.78E-10  7.546E-04  3.36E-26
                            L1-N2  3.88E-10  7.547E-04  4.70E-26
                            L2-N1  4.32E-14  1.075E-05  7.45E-32
                            L2-N3  1.12E-06  5.704E-04  1.03E-22
                            L2-N4  2.20E-09  6.022E-04  2.12E-25
                            L2-N6  2.76E-07  6.511E-04  2.88E-23
                            L2-O1  2.19E-08  6.557E-04  2.30E-24
                            L3-N5  2.12E-06  5.596E-04  1.90E-22
                            L3-N6  2.16E-09  5.901E-04  2.04E-25
                            L3-N7  2.11E-09  5.914E-04  2.00E-25
                            L3-O1  4.46E-08  6.404E-04  4.58E-24
                            L3-O2  5.04E-07  6.405E-04  5.17E-23
                            L3-O3  4.14E-08  6.450E-04  4.28E-24
                            M3-M5  5.44E-09  4.142E-05  3.61E-26
                            M3-N5  4.08E-03  1.149E-05  7.52E-21
                                                  Total 3.84E-18
Mn-54   312.12 d EC B- B+   K -L2  7.34E-02  5.368E-03  6.31E-17
                            K -L3  1.44E-01  5.377E-03  1.24E-16
                            K -M2  8.44E-03  5.906E-03  7.98E-18
                            K -M3  1.66E-02  5.907E-03  1.57E-17
                            K -M4  2.24E-06  5.951E-03  2.14E-21
                            K -M5  3.28E-06  5.951E-03  3.13E-21
                            L1-L3  1.46E-05  9.760E-05  2.29E-22
                            L1-M2  5.18E-05  1.065E-04  8.84E-22
                            L1-M3  1.51E-04  6.361E-04  1.54E-20
                            L1-M4  2.21E-04  6.371E-04  2.26E-20
                            L1-M5  3.15E-07  6.809E-04  3.43E-23
                            L1-N2  4.48E-07  6.810E-04  4.89E-23
                            L2-N1  4.23E-11  8.930E-06  6.05E-29
                            L2-N3  1.48E-03  5.105E-04  1.21E-19
                            L2-N4  2.42E-06  5.395E-04  2.09E-22
                            L2-N6  2.53E-04  5.833E-04  2.36E-20
                            L2-O1  2.78E-05  5.838E-04  2.60E-21
                            L3-N5  2.70E-03  5.016E-04  2.17E-19
                            L3-N6  2.27E-06  5.296E-04  1.93E-22
                            L3-N7  2.22E-06  5.306E-04  1.89E-22
                            L3-O1  3.83E-05  5.744E-04  3.53E-21
                            L3-O2  4.39E-04  5.744E-04  4.04E-20
                            L3-O3  5.08E-05  5.749E-04  4.68E-21
                            M3-M5  5.19E-06  3.461E-05  2.88E-23
                            M3-N5  6.42E+00  6.391E-06  6.58E-18
                                                  Total 2.18E-16
Fe-52   8.275 h EC B-       K -L2  3.70E-02  5.848E-03  3.46E-17
                            K -L3  7.25E-02  5.859E-03  6.81E-17
                            K -M2  4.41E-03  6.449E-03  4.55E-18
                            K -M3  8.67E-03  6.450E-03  8.96E-18
                            K -M4  1.55E-06  6.499E-03  1.62E-21
                            K -M5  2.27E-06  6.499E-03  2.37E-21
                            L1-L3  5.28E-06  1.035E-04  8.75E-23
                            L1-M2  1.97E-05  1.142E-04  3.60E-22
                            L1-M3  7.47E-05  7.044E-04  8.43E-21
                            L1-M4  1.08E-04  7.057E-04  1.23E-20
                            L1-M5  1.93E-07  7.546E-04  2.33E-23
                            L1-N2  2.70E-07  7.547E-04  3.26E-23
                            L2-N1  2.84E-11  1.075E-05  4.90E-29
                            L2-N3  7.39E-04  5.704E-04  6.75E-20
                            L2-N4  1.45E-06  6.022E-04  1.40E-22
                            L2-N6  1.81E-04  6.511E-04  1.89E-20
                            L2-O1  1.44E-05  6.557E-04  1.51E-21
                            L3-N5  1.41E-03  5.596E-04  1.27E-19
                            L3-N6  1.44E-06  5.901E-04  1.36E-22
                            L3-N7  1.40E-06  5.914E-04  1.33E-22
                            L3-O1  2.97E-05  6.404E-04  3.05E-21
                            L3-O2  3.36E-04  6.405E-04  3.45E-20
                            L3-O3  2.76E-05  6.450E-04  2.85E-21
                            M3-M5  3.73E-06  4.121E-05  2.46E-23
                            M3-N5  2.75E+00  1.149E-05  5.05E-18
                                                  Total 1.22E-16
Fe-55   2.737 y EC          K -L2  8.11E-02  5.848E-03  7.60E-17
                            K -L3  1.59E-01  5.859E-03  1.49E-16
                            K -M2  9.67E-03  6.449E-03  9.99E-18
                            K -M3  1.90E-02  6.450E-03  1.97E-17
                            K -M4  3.41E-06  6.499E-03  3.55E-21
                            K -M5  4.99E-06  6.499E-03  5.19E-21
                            L1-L3  1.17E-05  1.035E-04  1.95E-22
                            L1-M2  4.38E-05  1.142E-04  8.02E-22
                            L1-M3  1.66E-04  7.044E-04  1.88E-20
                            L1-M4  2.41E-04  7.057E-04  2.73E-20
                            L1-M5  4.30E-07  7.546E-04  5.19E-23
                            L1-N2  6.00E-07  7.547E-04  7.26E-23
                            L2-N1  6.26E-11  1.075E-05  1.08E-28
                            L2-N3  1.63E-03  5.704E-04  1.49E-19
                            L2-N4  3.19E-06  6.022E-04  3.07E-22
                            L2-N6  3.99E-04  6.511E-04  4.16E-20
                            L2-O1  3.17E-05  6.557E-04  3.33E-21
                            L3-N5  3.11E-03  5.596E-04  2.79E-19
                            L3-N6  3.17E-06  5.901E-04  2.99E-22
                            L3-N7  3.09E-06  5.914E-04  2.93E-22
                            L3-O1  6.54E-05  6.404E-04  6.71E-21
                            L3-O2  7.39E-04  6.405E-04  7.58E-20
                            L3-O3  6.07E-05  6.450E-04  6.28E-21
                            M3-M5  8.24E-06  4.118E-05  5.43E-23
                            M3-N5  6.05E+00  1.149E-05  1.11E-17
                                                  Total 2.67E-16
Fe-59   44.495 d B+         K -L2  6.00E-05  6.873E-03  6.61E-20
                            K -L3  1.17E-04  6.888E-03  1.29E-19
                            K -M2  7.29E-06  7.606E-03  8.88E-21
                            K -M3  1.43E-05  7.608E-03  1.74E-20
                            K -M4  4.81E-09  7.667E-03  5.90E-24
                            K -M5  7.00E-09  7.667E-03  8.60E-24
                            L1-L3  4.55E-09  1.154E-04  8.42E-26
                            L1-M2  1.88E-08  1.307E-04  3.93E-25
                            L1-M3  1.08E-07  8.488E-04  1.47E-23
                            L1-M4  1.62E-07  8.507E-04  2.20E-23
                            L1-M5  3.63E-10  9.090E-04  5.29E-26
                            L1-N2  4.82E-10  9.092E-04  7.03E-26
                            L2-N1  7.82E-14  1.525E-05  1.91E-31
                            L2-N3  1.17E-06  6.978E-04  1.31E-22
                            L2-N4  3.11E-09  7.353E-04  3.66E-25
                            L2-N6  5.78E-07  7.936E-04  7.35E-23
                            L2-O1  2.57E-08  7.997E-04  3.29E-24
                            L3-N5  2.18E-06  6.826E-04  2.39E-22
                            L3-N6  3.10E-09  7.181E-04  3.57E-25
                            L3-N7  3.02E-09  7.200E-04  3.48E-25
                            L3-O1  9.60E-08  7.784E-04  1.20E-23
                            L3-O2  1.05E-06  7.786E-04  1.31E-22
                            L3-O3  4.70E-08  7.845E-04  5.91E-24
                            M3-M5  1.13E-08  5.351E-05  9.67E-26
                            M3-N5  3.24E-03  1.354E-05  7.02E-21
                                                  Total 2.30E-19
Co-55   17.53 h EC B-       K -L2  2.18E-02  6.350E-03  2.22E-17
                            K -L3  4.27E-02  6.363E-03  4.36E-17
                            K -M2  2.63E-03  7.015E-03  2.95E-18
                            K -M3  5.17E-03  7.017E-03  5.81E-18
                            K -M4  1.29E-06  7.070E-03  1.46E-21
                            K -M5  1.89E-06  7.071E-03  2.14E-21
                            L1-L3  2.28E-06  1.094E-04  4.00E-23
                            L1-M2  8.92E-06  1.223E-04  1.75E-22
                            L1-M3  4.23E-05  7.749E-04  5.26E-21
                            L1-M4  6.29E-05  7.765E-04  7.82E-21
                            L1-M5  1.29E-07  8.301E-04  1.71E-23
                            L1-N2  1.75E-07  8.302E-04  2.32E-23
                            L2-N1  2.22E-11  1.286E-05  4.58E-29
                            L2-N3  4.38E-04  6.325E-04  4.44E-20
                            L2-N4  9.96E-07  6.671E-04  1.07E-22
                            L2-N6  1.52E-04  7.206E-04  1.76E-20
                            L2-O1  8.98E-06  7.260E-04  1.04E-21
                            L3-N5  8.28E-04  6.197E-04  8.22E-20
                            L3-N6  1.01E-06  6.526E-04  1.05E-22
                            L3-N7  9.80E-07  6.542E-04  1.03E-22
                            L3-O1  2.53E-05  7.078E-04  2.87E-21
                            L3-O2  2.83E-04  7.080E-04  3.21E-20
                            L3-O3  1.69E-05  7.132E-04  1.94E-21
                            M3-M5  3.12E-06  4.724E-05  2.36E-23
                            M3-N5  1.39E+00  1.253E-05  2.79E-18
                                                  Total 7.75E-17
Co-56   77.23 d EC B-       K -L2  7.28E-02  6.350E-03  7.41E-17
                            K -L3  1.43E-01  6.363E-03  1.45E-16
                            K -M2  8.77E-03  7.015E-03  9.86E-18
